id1_pdf_file,id2_pdf_file,id1_page_number,id2_page_number,id1_section_number,id2_section_number,id1_section_title,id2_section_title,text1,text2,Tier
O-RAN.WG11.TS.Security-Test-Specifications-R004-v09.00.pdf,O-RAN.WG11.TS.Security-Test-Specifications-R004-v09.00.pdf,79,80,11.1.3.1,11.1.3.1,"SSH-based M-Plane authentication, authorization and access control protection","SSH-based M-Plane authentication, authorization and access control protection","EXAMPLE: ""Command: ssh -i <path_to_invalid_private_key> -o CertificateFile=<path_to_invalid_certificate> <valid_username>@<O-RU_IP>"" Verify that the O-RU rejects the SSH connection due to the authentication failure.","EXAMPLE: ""Command: ssh -i <path_to_invalid_private_key> -o CertificateFile=<path_to_invalid_certificate> <valid_username>@<O-DU_IP>"" Verify that the O-RU rejects the SSH connection due to the authentication failure.",2
O-RAN.WG11.TS.Security-Requirements-Specification.0-R004-v11.00.pdf,O-RAN.WG11.Certficate-Management-Framework-TR.0-R004-v04.00.pdf,57,31,5.3.9.1,5.5.4,Requirements,Potential Security Requirements,"In order to facilitate vendor certificate-based initial enrolment of PNFs, vendors shall pre- install vendor-signed certificates in PNFs.","In order to facilitate vendor certificate-based initial enrolment of PNFs, vendors should pre-install vendor-signed certificates in PNFs.",2
O-RAN.WG2.TS.Use-Case-Requirements-R004-v10.02.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,6,26,4.1.4,4.5.4,Required data,Required data,"The measurement counters and KPIs (as defined by 3GPP and will be extended for O-RAN use cases) should be appropriately aggregated by cell, QoS type, slice, etc.","The measurement counters and KPIs (as defined by 3GPP and will be extended for O-RAN use cases) shall be appropriately aggregated by cell, QoS type, slice, etc.",2
O-RAN.WG11.Certficate-Management-Framework-TR.0-R004-v04.00.pdf,O-RAN.WG11.Certficate-Management-Framework-TR.0-R004-v04.00.pdf,40,54,5.7.4,6.1,Potential Security Requirements,Key Issue #41: CMPv2,"An O-RAN PNF, VNF or CNF requiring a PKI certificate should support CMPv2 as defined in [i.5].","An O-RAN PNF, VNF or CNF requiring a PKI certificate shall support CMPv2 as defined in [i.5].",2
O-RAN.WG11.TR.Fronthaul-CUSPlane-Security.0-R004-v03.00.pdf,O-RAN.WG11.TS.Security-Requirements-Specification.0-R004-v11.00.pdf,9,31,4.2.4.2,5.2.5.3,Solution #3: Authentication and Authorization based on 802.1X Port Based Access Control,S-plane,"The S-Plane should support authentication and authorization of PTP nodes that communicate with other PTP nodes within Configuration , Configuration , or Configuration .","The S-Plane shall support authentication and authorization of PTP nodes that communicate with other PTP nodes within Configuration , Configuration , or Configuration .",2
O-RAN.WG2.TS.Use-Case-Requirements-R004-v10.02.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,29,4,4.4.4,4.1.4,Required data,Required data,"The measurement counters and KPIs (as defined by 3GPP) should be appropriately aggregated by cell, QoS type, slice, etc.","The measurement counters and KPIs (as defined by 3GPP) shall be appropriately aggregated by cell, QoS type, slice, etc.",2
O-RAN.WG1.Network-Energy-Savings-Technical-Report-R003-v02.00.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,4,217,5.2.1.1,4.21.3.1,Description and UML Diagram,Carrier and cell switch off/on,SMO instructs E2 Node via O1 interface to perform the received request(s) from the Non-RT RIC. O-RU is informed about the updated O-RU configuration via Open FH M-Plane interface by E2 Node. E2 Node will notify SMO once cell or carrier switch off/on is completed.,"SMO instructs E2 node via O1 interface to perform the received request(s) from the Non-RT RIC. O-RU is informed about the updated O-RU configuration via open FH M-plane interface either by E2 node, or by SMO directly. E2 node / O-RU will notify SMO once cell or carrier switch off/on is completed.",1
O-RAN.WG11.Certficate-Management-Framework-TR.0-R004-v04.00.pdf,O-RAN.WG11.Certficate-Management-Framework-TR.0-R004-v04.00.pdf,41,55,5.8.4,6.4,Potential Security Requirements,Vendor root CA certificate renewal notification,"It is recommended that PNFs which use vendor-signed certificates for initial certificate enrolment monitor the expiry of the root CA certificate used to sign the certificate. When the expiry of the vendor root CA certificate is approaching, PNFs can raise notifications (alarms) with increasing levels of severity as the expiry date gets closer.","PNFs which use vendor-signed certificates for initial certificate enrolment should monitor the expiry of the vendor root CA certificate used to sign the certificate. When the expiry of the vendor root CA certificate is approaching, PNFs should raise notifications (alarms) with increasing levels of severity as the expiry date gets closer.",1
O-RAN.WG11.TS.Security-Requirements-Specification.0-R004-v11.00.pdf,O-RAN.WG11.Certficate-Management-Framework-TR.0-R004-v04.00.pdf,57,31,5.3.9.1,5.5.4,Requirements,Potential Security Requirements,"In order to facilitate vendor certificate-based initial enrolment of PNFs, operators shall pre- provision the FQDN/IP address of RA/CA to PNFs.","In order to facilitate vendor certificate-based initial enrolment of PNFs, operators should pre-configure the FQDN/IP address of RA/CA in PNFs.",2
O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,O-RAN.WG11.TS.Security-Test-Specifications-R004-v09.00.pdf,6,4,4.2,5.3,Test and measurement equipment and tools,Test and measurement equipment and tools,The vulnerability scanning tool is used for blind exploitation of well-known vulnerabilities during security tests. The tool should rely on cyclically updated database of known vulnerabilities based on Common Vulnerabilities and Exposures (CVE) and should support scanning network services running on TCP/IP stack of protocols. The tool is intended to be deployable in various network segments (communication planes) according to the testing needs.,A vulnerability scanning tool shall be used for blind exploitation of well-known vulnerabilities during security tests. The tool may rely on cyclically updated database of known vulnerabilities based on Common Vulnerabilities and Exposures (CVE) and should support scanning network services running on TCP/IP stack of protocols.,2
O-RAN.WG11.TR.Threat-Modeling.O-R004-v05.00.pdf,ORAN-WG11-SharedORU-Security-Analysis-TR.0-R004-v06.00.pdf,96,17,7.4.9.3,6.3,Data Access Threats,Data Access Threats,Data-at-rest on the SMO related to a Shared O-RU is exposed to an unauthorized tenant / SMO user. Attacker exploits weak confidentiality protection to view data owned by the MNO Host or a MNO Tenant of a shared O- RU.,Data-at-rest or data-in-use on the SMO related to a Shared O-RU is exposed to an unauthorized tenant / SMO user. Attacker exploits weak confidentiality protection to view data owned by the MNO Host or a MNO Tenant of a shared O-RU.,1
